annotation_id,source_file,pdf_page,decision,checks,reviewer_id,review_date,note
比亚迪-2022-scope_1_emissions,比亚迪2024年ESG报告.pdf,127,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
比亚迪-2022-scope_2_emissions,比亚迪2024年ESG报告.pdf,127,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
比亚迪-2023-scope_1_emissions,比亚迪2024年ESG报告.pdf,127,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
比亚迪-2023-scope_2_emissions,比亚迪2024年ESG报告.pdf,127,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
比亚迪-2024-scope_1_emissions,比亚迪2024年ESG报告.pdf,127,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
比亚迪-2024-scope_2_emissions,比亚迪2024年ESG报告.pdf,127,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长城汽车-2022-scope_1_emissions,长城汽车2023年ESG报告.pdf,95,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长城汽车-2022-scope_2_emissions,长城汽车2023年ESG报告.pdf,95,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长城汽车-2023-scope_1_emissions,长城汽车2023年ESG报告.pdf,95,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长城汽车-2023-scope_2_emissions,长城汽车2023年ESG报告.pdf,95,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长城汽车-2024-scope_1_emissions,长城汽车2024年ESG报告.pdf,97,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
长城汽车-2024-scope_2_emissions,长城汽车2024年ESG报告.pdf,97,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
广汽集团-2022-scope_1_emissions,广汽集团2024年ESG报告.pdf,131,accept_machine_pass,excerpt_overlap_weak,machine_second_pass_v1,2026-08-28,Independent machine-assisted extraction pass; not a human inter-rater review.
